Year,Month,MeanFlow,TotalPrecip,Date,NumDate
1990,7,232,83.7,7/1/1990,33055
1990,8,135,58.3,8/1/1990,33086
1990,9,78.1,7.5,9/1/1990,33117
1991,4,56,7.1,4/1/1991,33329
1991,5,124,96.1,5/1/1991,33359
1991,6,234,113.2,6/1/1991,33390
1991,7,258,29.6,7/1/1991,33420
1991,8,158,64.2,8/1/1991,33451
1991,9,82.4,25.9,9/1/1991,33482
1992,4,58.3,24.6,4/1/1992,33695
1992,5,95.4,46.2,5/1/1992,33725
1992,6,159,177.2,6/1/1992,33756
1992,7,146,76.2,7/1/1992,33786
1992,8,93.5,41.5,8/1/1992,33817
1992,9,59.5,48.1,9/1/1992,33848
1993,4,57.4,6.5,4/1/1993,34060
1993,5,110,61.9,5/1/1993,34090
1993,6,142,118.4,6/1/1993,34121
1993,7,175,87,7/1/1993,34151
1993,8,151,92.3,8/1/1993,34182
1993,9,116,24.3,9/1/1993,34213
1994,4,57,12.6,4/1/1994,34425
1994,5,108,62.5,5/1/1994,34455
1994,6,156,68.4,6/1/1994,34486
1994,7,123,38,7/1/1994,34516
1994,8,106,84.4,8/1/1994,34547
1994,9,65.2,10.4,9/1/1994,34578
1995,4,54.6,31.8,4/1/1995,34790
1995,5,90,71.9,5/1/1995,34820
1995,6,276,43.4,6/1/1995,34851
1995,7,172,133.4,7/1/1995,34881
1995,8,132,34.2,8/1/1995,34912
1995,9,95.8,27.9,9/1/1995,34943
1996,4,69.8,18.5,4/1/1996,35156
1996,5,80.3,51.5,5/1/1996,35186
1996,6,210,59.2,6/1/1996,35217
1996,7,197,41.9,7/1/1996,35247
1996,8,117,21,8/1/1996,35278
1996,9,75.5,46.4,9/1/1996,35309
1997,4,55.9,12.6,4/1/1997,35521
1997,5,88.8,100.7,5/1/1997,35551
1997,6,211,138.4,6/1/1997,35582
1997,7,122,16.9,7/1/1997,35612
1997,8,101,57.8,8/1/1997,35643
1997,9,84.4,37.8,9/1/1997,35674
1998,4,55.6,41.2,4/1/1998,35886
1998,5,124,86.4,5/1/1998,35916
1998,6,210,110.4,6/1/1998,35947
1998,7,157,132.2,7/1/1998,35977
1998,8,102,18,8/1/1998,36008
1998,9,70.9,26,9/1/1998,36039
1999,4,64,72.8,4/1/1999,36251
1999,5,70.7,52.8,5/1/1999,36281
1999,6,143,95.4,6/1/1999,36312
1999,7,206,103.8,7/1/1999,36342
1999,8,177,89.2,8/1/1999,36373
1999,9,104,9.1,9/1/1999,36404
2000,4,61.2,17,4/1/2000,36617
2000,5,74.8,28.8,5/1/2000,36647
2000,6,112,109.8,6/1/2000,36678
2000,7,147,66.8,7/1/2000,36708
2000,8,104,63.9,8/1/2000,36739
2000,9,71.2,53.6,9/1/2000,36770
2001,4,46.3,19.2,4/1/2001,36982
2001,5,72.3,30.5,5/1/2001,37012
2001,6,129,121.4,6/1/2001,37043
2001,7,106,58.8,7/1/2001,37073
2001,8,81.1,14.2,8/1/2001,37104
2001,9,52.6,13,9/1/2001,37135
2002,4,45.4,20.5,4/1/2002,37347
2002,5,59.1,34,5/1/2002,37377
2002,6,230,58.6,6/1/2002,37408
2002,7,185,34.6,7/1/2002,37438
2002,8,94.3,57.4,8/1/2002,37469
2002,9,73.4,58.2,9/1/2002,37500
2003,4,58.3,81.8,4/1/2003,37712
2003,5,84.6,34.5,5/1/2003,37742
2003,6,187,104.8,6/1/2003,37773
2003,7,107,42.2,7/1/2003,37803
2003,8,78.6,39.3,8/1/2003,37834
2003,9,67.4,39.6,9/1/2003,37865
2004,4,53.8,18,4/1/2004,38078
2004,5,76.8,55.6,5/1/2004,38108
2004,6,145,98.2,6/1/2004,38139
2004,7,138,54.2,7/1/2004,38169
2004,8,108,58.6,8/1/2004,38200
2004,9,113,30.4,9/1/2004,38231
2005,4,61.9,8.4,4/1/2005,38443
2005,5,95.6,18.8,5/1/2005,38473
2005,6,293,247.6,6/1/2005,38504
2005,7,177,19.8,7/1/2005,38534
2005,8,110,98.2,8/1/2005,38565
2005,9,107,86,9/1/2005,38596
2006,4,67.5,29.4,4/1/2006,38808
